L,gm/Id,Vds_sat
4.5e-07,2.61813,0.60407
4.5e-07,2.62195,0.603339
4.5e-07,2.62578,0.602608
4.5e-07,2.62962,0.601877
4.5e-07,2.63347,0.601145
4.5e-07,2.63733,0.600414
4.5e-07,2.6412,0.599683
4.5e-07,2.64508,0.598952
4.5e-07,2.64897,0.598221
4.5e-07,2.65287,0.597489
4.5e-07,2.65677,0.596758
4.5e-07,2.66069,0.596027
4.5e-07,2.66462,0.595295
4.5e-07,2.66855,0.594564
4.5e-07,2.6725,0.593833
4.5e-07,2.67645,0.593101
4.5e-07,2.68042,0.59237
4.5e-07,2.68439,0.591639
4.5e-07,2.68838,0.590907
4.5e-07,2.69237,0.590176
4.5e-07,2.69638,0.589445
4.5e-07,2.70039,0.588713
4.5e-07,2.70442,0.587982
4.5e-07,2.70845,0.58725
4.5e-07,2.7125,0.586519
4.5e-07,2.71655,0.585787
4.5e-07,2.72062,0.585056
4.5e-07,2.72469,0.584324
4.5e-07,2.72878,0.583593
4.5e-07,2.73288,0.582861
4.5e-07,2.73698,0.58213
4.5e-07,2.7411,0.581398
4.5e-07,2.74523,0.580667
4.5e-07,2.74936,0.579935
4.5e-07,2.75351,0.579203
4.5e-07,2.75767,0.578472
4.5e-07,2.76184,0.57774
4.5e-07,2.76602,0.577009
4.5e-07,2.77021,0.576277
4.5e-07,2.77441,0.575545
4.5e-07,2.77862,0.574814
4.5e-07,2.78285,0.574082
4.5e-07,2.78708,0.57335
4.5e-07,2.79132,0.572618
4.5e-07,2.79558,0.571887
4.5e-07,2.79985,0.571155
4.5e-07,2.80412,0.570423
4.5e-07,2.80841,0.569691
4.5e-07,2.81271,0.56896
4.5e-07,2.81702,0.568228
4.5e-07,2.82135,0.567496
4.5e-07,2.82568,0.566764
4.5e-07,2.83002,0.566032
4.5e-07,2.83438,0.5653
4.5e-07,2.83875,0.564568
4.5e-07,2.84313,0.563837
4.5e-07,2.84752,0.563105
4.5e-07,2.85192,0.562373
4.5e-07,2.85633,0.561641
4.5e-07,2.86076,0.560909
4.5e-07,2.86519,0.560177
4.5e-07,2.86964,0.559445
4.5e-07,2.8741,0.558713
4.5e-07,2.87858,0.557981
4.5e-07,2.88306,0.557249
4.5e-07,2.88756,0.556517
4.5e-07,2.89206,0.555784
4.5e-07,2.89658,0.555052
4.5e-07,2.90112,0.55432
4.5e-07,2.90566,0.553588
4.5e-07,2.91022,0.552856
4.5e-07,2.91479,0.552124
4.5e-07,2.91937,0.551392
4.5e-07,2.92396,0.550659
4.5e-07,2.92857,0.549927
4.5e-07,2.93318,0.549195
4.5e-07,2.93782,0.548463
4.5e-07,2.94246,0.54773
4.5e-07,2.94711,0.546998
4.5e-07,2.95178,0.546266
4.5e-07,2.95646,0.545533
4.5e-07,2.96116,0.544801
4.5e-07,2.96586,0.544069
4.5e-07,2.97058,0.543336
4.5e-07,2.97532,0.542604
4.5e-07,2.98006,0.541871
4.5e-07,2.98482,0.541139
4.5e-07,2.98959,0.540407
4.5e-07,2.99438,0.539674
4.5e-07,2.99918,0.538942
4.5e-07,3.00399,0.538209
4.5e-07,3.00881,0.537477
4.5e-07,3.01365,0.536744
4.5e-07,3.0185,0.536011
4.5e-07,3.02337,0.535279
4.5e-07,3.02825,0.534546
4.5e-07,3.03314,0.533814
4.5e-07,3.03804,0.533081
4.5e-07,3.04296,0.532348
4.5e-07,3.0479,0.531616
4.5e-07,3.05284,0.530883
4.5e-07,3.05781,0.53015
4.5e-07,3.06278,0.529417
4.5e-07,3.06777,0.528685
4.5e-07,3.07277,0.527952
4.5e-07,3.07779,0.527219
4.5e-07,3.08282,0.526486
4.5e-07,3.08787,0.525753
4.5e-07,3.09293,0.525021
4.5e-07,3.098,0.524288
4.5e-07,3.10309,0.523555
4.5e-07,3.1082,0.522822
4.5e-07,3.11332,0.522089
4.5e-07,3.11845,0.521356
4.5e-07,3.1236,0.520623
4.5e-07,3.12876,0.51989
4.5e-07,3.13394,0.519157
4.5e-07,3.13913,0.518424
4.5e-07,3.14434,0.517691
4.5e-07,3.14956,0.516958
4.5e-07,3.1548,0.516225
4.5e-07,3.16005,0.515491
4.5e-07,3.16532,0.514758
4.5e-07,3.1706,0.514025
4.5e-07,3.1759,0.513292
4.5e-07,3.18121,0.512559
4.5e-07,3.18654,0.511826
4.5e-07,3.19189,0.511092
4.5e-07,3.19725,0.510359
4.5e-07,3.20263,0.509626
4.5e-07,3.20802,0.508892
4.5e-07,3.21343,0.508159
4.5e-07,3.21885,0.507426
4.5e-07,3.22429,0.506692
4.5e-07,3.22975,0.505959
4.5e-07,3.23522,0.505226
4.5e-07,3.24071,0.504492
4.5e-07,3.24622,0.503759
4.5e-07,3.25174,0.503025
4.5e-07,3.25728,0.502292
4.5e-07,3.26284,0.501558
4.5e-07,3.26841,0.500825
4.5e-07,3.274,0.500091
4.5e-07,3.2796,0.499357
4.5e-07,3.28522,0.498624
4.5e-07,3.29086,0.49789
4.5e-07,3.29652,0.497156
4.5e-07,3.30219,0.496423
4.5e-07,3.30788,0.495689
4.5e-07,3.31359,0.494955
4.5e-07,3.31931,0.494222
4.5e-07,3.32506,0.493488
4.5e-07,3.33082,0.492754
4.5e-07,3.33659,0.49202
4.5e-07,3.34239,0.491286
4.5e-07,3.3482,0.490553
4.5e-07,3.35403,0.489819
4.5e-07,3.35988,0.489085
4.5e-07,3.36575,0.488351
4.5e-07,3.37163,0.487617
4.5e-07,3.37754,0.486883
4.5e-07,3.38346,0.486149
4.5e-07,3.3894,0.485415
4.5e-07,3.39536,0.484681
4.5e-07,3.40133,0.483947
4.5e-07,3.40733,0.483213
4.5e-07,3.41334,0.482479
4.5e-07,3.41938,0.481744
4.5e-07,3.42543,0.48101
4.5e-07,3.4315,0.480276
4.5e-07,3.43759,0.479542
4.5e-07,3.4437,0.478808
4.5e-07,3.44982,0.478073
4.5e-07,3.45597,0.477339
4.5e-07,3.46214,0.476605
4.5e-07,3.46832,0.475871
4.5e-07,3.47453,0.475136
4.5e-07,3.48076,0.474402
4.5e-07,3.487,0.473667
4.5e-07,3.49327,0.472933
4.5e-07,3.49955,0.472199
4.5e-07,3.50586,0.471464
4.5e-07,3.51218,0.47073
4.5e-07,3.51853,0.469995
4.5e-07,3.5249,0.469261
4.5e-07,3.53128,0.468526
4.5e-07,3.53769,0.467792
4.5e-07,3.54412,0.467057
4.5e-07,3.55057,0.466322
4.5e-07,3.55704,0.465588
4.5e-07,3.56353,0.464853
