L,gm/Id,Vds_sat
4.5e-07,1.48472,0.544384
4.5e-07,1.48651,0.544045
4.5e-07,1.4883,0.543705
4.5e-07,1.49009,0.543366
4.5e-07,1.49189,0.543026
4.5e-07,1.49368,0.542686
4.5e-07,1.49549,0.542347
4.5e-07,1.49729,0.542007
4.5e-07,1.4991,0.541667
4.5e-07,1.50091,0.541328
4.5e-07,1.50273,0.540988
4.5e-07,1.50455,0.540648
4.5e-07,1.50637,0.540308
4.5e-07,1.50819,0.539968
4.5e-07,1.51002,0.539628
4.5e-07,1.51185,0.539289
4.5e-07,1.51369,0.538949
4.5e-07,1.51553,0.538608
4.5e-07,1.51737,0.538268
4.5e-07,1.51922,0.537928
4.5e-07,1.52106,0.537588
4.5e-07,1.52292,0.537248
4.5e-07,1.52477,0.536908
4.5e-07,1.52663,0.536567
4.5e-07,1.52849,0.536227
4.5e-07,1.53036,0.535887
4.5e-07,1.53223,0.535546
4.5e-07,1.5341,0.535206
4.5e-07,1.53598,0.534865
4.5e-07,1.53786,0.534525
4.5e-07,1.53974,0.534184
4.5e-07,1.54163,0.533844
4.5e-07,1.54352,0.533503
4.5e-07,1.54542,0.533162
4.5e-07,1.54732,0.532821
4.5e-07,1.54922,0.532481
4.5e-07,1.55112,0.53214
4.5e-07,1.55303,0.531799
4.5e-07,1.55494,0.531458
4.5e-07,1.55686,0.531117
4.5e-07,1.55878,0.530776
4.5e-07,1.5607,0.530435
4.5e-07,1.56263,0.530094
4.5e-07,1.56456,0.529753
4.5e-07,1.56649,0.529411
4.5e-07,1.56843,0.52907
4.5e-07,1.57037,0.528729
4.5e-07,1.57232,0.528387
4.5e-07,1.57426,0.528046
4.5e-07,1.57622,0.527705
4.5e-07,1.57817,0.527363
4.5e-07,1.58013,0.527021
4.5e-07,1.5821,0.52668
4.5e-07,1.58406,0.526338
4.5e-07,1.58603,0.525996
4.5e-07,1.58801,0.525655
4.5e-07,1.58999,0.525313
4.5e-07,1.59197,0.524971
4.5e-07,1.59396,0.524629
4.5e-07,1.59595,0.524287
4.5e-07,1.59794,0.523945
4.5e-07,1.59994,0.523603
4.5e-07,1.60194,0.523261
4.5e-07,1.60394,0.522918
4.5e-07,1.60595,0.522576
4.5e-07,1.60797,0.522234
4.5e-07,1.60998,0.521892
4.5e-07,1.612,0.521549
4.5e-07,1.61403,0.521207
4.5e-07,1.61606,0.520864
4.5e-07,1.61809,0.520521
4.5e-07,1.62013,0.520179
4.5e-07,1.62217,0.519836
4.5e-07,1.62421,0.519493
4.5e-07,1.62626,0.51915
4.5e-07,1.62831,0.518808
4.5e-07,1.63037,0.518465
4.5e-07,1.63243,0.518122
4.5e-07,1.63449,0.517778
4.5e-07,1.63656,0.517435
4.5e-07,1.63863,0.517092
4.5e-07,1.64071,0.516749
4.5e-07,1.64279,0.516406
4.5e-07,1.64487,0.516062
4.5e-07,1.64696,0.515719
4.5e-07,1.64906,0.515375
4.5e-07,1.65115,0.515032
4.5e-07,1.65325,0.514688
4.5e-07,1.65536,0.514344
4.5e-07,1.65747,0.514
4.5e-07,1.65958,0.513657
4.5e-07,1.6617,0.513313
4.5e-07,1.66382,0.512969
4.5e-07,1.66595,0.512625
4.5e-07,1.66808,0.512281
4.5e-07,1.67021,0.511936
4.5e-07,1.67235,0.511592
4.5e-07,1.67449,0.511248
4.5e-07,1.67664,0.510904
4.5e-07,1.67879,0.510559
4.5e-07,1.68095,0.510215
4.5e-07,1.68311,0.50987
4.5e-07,1.68527,0.509525
4.5e-07,1.68744,0.509181
4.5e-07,1.68961,0.508836
4.5e-07,1.69179,0.508491
4.5e-07,1.69397,0.508146
4.5e-07,1.69616,0.507801
4.5e-07,1.69835,0.507456
4.5e-07,1.70054,0.507111
4.5e-07,1.70274,0.506766
4.5e-07,1.70494,0.50642
4.5e-07,1.70715,0.506075
4.5e-07,1.70937,0.505729
4.5e-07,1.71158,0.505384
4.5e-07,1.7138,0.505038
4.5e-07,1.71603,0.504693
4.5e-07,1.71826,0.504347
4.5e-07,1.72049,0.504001
4.5e-07,1.72273,0.503655
4.5e-07,1.72498,0.503309
4.5e-07,1.72723,0.502963
4.5e-07,1.72948,0.502617
4.5e-07,1.73174,0.502271
4.5e-07,1.734,0.501925
4.5e-07,1.73626,0.501578
4.5e-07,1.73854,0.501232
4.5e-07,1.74081,0.500885
4.5e-07,1.74309,0.500539
4.5e-07,1.74538,0.500192
4.5e-07,1.74767,0.499845
4.5e-07,1.74996,0.499498
4.5e-07,1.75226,0.499151
4.5e-07,1.75457,0.498804
4.5e-07,1.75687,0.498457
4.5e-07,1.75919,0.49811
4.5e-07,1.76151,0.497763
4.5e-07,1.76383,0.497415
4.5e-07,1.76616,0.497068
4.5e-07,1.76849,0.49672
4.5e-07,1.77083,0.496373
4.5e-07,1.77317,0.496025
4.5e-07,1.77552,0.495677
4.5e-07,1.77787,0.49533
4.5e-07,1.78022,0.494982
4.5e-07,1.78259,0.494634
4.5e-07,1.78495,0.494285
4.5e-07,1.78732,0.493937
4.5e-07,1.7897,0.493589
4.5e-07,1.79208,0.493241
4.5e-07,1.79447,0.492892
4.5e-07,1.79686,0.492544
4.5e-07,1.79925,0.492195
4.5e-07,1.80166,0.491846
4.5e-07,1.80406,0.491497
4.5e-07,1.80647,0.491148
4.5e-07,1.80889,0.490799
4.5e-07,1.81131,0.49045
4.5e-07,1.81374,0.490101
4.5e-07,1.81617,0.489752
4.5e-07,1.81861,0.489402
4.5e-07,1.82105,0.489053
4.5e-07,1.82349,0.488703
4.5e-07,1.82595,0.488354
4.5e-07,1.8284,0.488004
4.5e-07,1.83087,0.487654
4.5e-07,1.83333,0.487304
4.5e-07,1.83581,0.486954
4.5e-07,1.83829,0.486604
4.5e-07,1.84077,0.486253
4.5e-07,1.84326,0.485903
4.5e-07,1.84575,0.485553
4.5e-07,1.84825,0.485202
4.5e-07,1.85075,0.484851
4.5e-07,1.85326,0.484501
4.5e-07,1.85578,0.48415
4.5e-07,1.8583,0.483799
4.5e-07,1.86083,0.483448
4.5e-07,1.86336,0.483097
4.5e-07,1.86589,0.482745
4.5e-07,1.86844,0.482394
4.5e-07,1.87098,0.482043
4.5e-07,1.87354,0.481691
4.5e-07,1.8761,0.481339
4.5e-07,1.87866,0.480988
4.5e-07,1.88123,0.480636
4.5e-07,1.88381,0.480284
4.5e-07,1.88639,0.479932
4.5e-07,1.88897,0.47958
4.5e-07,1.89156,0.479227
4.5e-07,1.89416,0.478875
4.5e-07,1.89677,0.478522
4.5e-07,1.89937,0.47817
4.5e-07,1.90199,0.477817
4.5e-07,1.90461,0.477464
4.5e-07,1.90723,0.477111
4.5e-07,1.90987,0.476758
4.5e-07,1.9125,0.476405
4.5e-07,1.91515,0.476052
4.5e-07,1.9178,0.475698
4.5e-07,1.92045,0.475345
4.5e-07,1.92311,0.474991
4.5e-07,1.92578,0.474637
4.5e-07,1.92845,0.474284
4.5e-07,1.93113,0.47393
4.5e-07,1.93381,0.473576
4.5e-07,1.9365,0.473221
4.5e-07,1.9392,0.472867
4.5e-07,1.9419,0.472513
4.5e-07,1.94461,0.472158
4.5e-07,1.94732,0.471804
4.5e-07,1.95004,0.471449
4.5e-07,1.95276,0.471094
4.5e-07,1.9555,0.470739
4.5e-07,1.95823,0.470384
4.5e-07,1.96098,0.470029
4.5e-07,1.96373,0.469673
4.5e-07,1.96648,0.469318
4.5e-07,1.96925,0.468962
4.5e-07,1.97201,0.468607
4.5e-07,1.97479,0.468251
4.5e-07,1.97757,0.467895
4.5e-07,1.98036,0.467539
4.5e-07,1.98315,0.467183
4.5e-07,1.98595,0.466826
4.5e-07,1.98875,0.46647
4.5e-07,1.99157,0.466113
4.5e-07,1.99438,0.465757
4.5e-07,1.99721,0.4654
4.5e-07,2.00004,0.465043
4.5e-07,2.00288,0.464686
4.5e-07,2.00572,0.464329
4.5e-07,2.00857,0.463972
4.5e-07,2.01143,0.463614
4.5e-07,2.01429,0.463257
4.5e-07,2.01716,0.462899
4.5e-07,2.02004,0.462541
4.5e-07,2.02292,0.462183
4.5e-07,2.02581,0.461825
4.5e-07,2.0287,0.461467
4.5e-07,2.03161,0.461109
4.5e-07,2.03451,0.46075
4.5e-07,2.03743,0.460392
4.5e-07,2.04035,0.460033
4.5e-07,2.04328,0.459674
4.5e-07,2.04622,0.459315
4.5e-07,2.04916,0.458956
4.5e-07,2.05211,0.458597
4.5e-07,2.05506,0.458237
4.5e-07,2.05803,0.457878
4.5e-07,2.061,0.457518
4.5e-07,2.06397,0.457159
4.5e-07,2.06696,0.456799
4.5e-07,2.06995,0.456439
4.5e-07,2.07294,0.456078
4.5e-07,2.07595,0.455718
4.5e-07,2.07896,0.455358
4.5e-07,2.08198,0.454997
4.5e-07,2.085,0.454636
4.5e-07,2.08803,0.454275
4.5e-07,2.09107,0.453914
4.5e-07,2.09412,0.453553
4.5e-07,2.09717,0.453192
4.5e-07,2.10023,0.45283
4.5e-07,2.1033,0.452469
4.5e-07,2.10637,0.452107
4.5e-07,2.10945,0.451745
4.5e-07,2.11254,0.451383
4.5e-07,2.11564,0.451021
4.5e-07,2.11874,0.450659
4.5e-07,2.12185,0.450296
4.5e-07,2.12497,0.449934
4.5e-07,2.1281,0.449571
4.5e-07,2.13123,0.449208
4.5e-07,2.13437,0.448845
4.5e-07,2.13752,0.448482
4.5e-07,2.14068,0.448119
4.5e-07,2.14384,0.447755
4.5e-07,2.14701,0.447392
4.5e-07,2.15019,0.447028
4.5e-07,2.15337,0.446664
4.5e-07,2.15656,0.4463
4.5e-07,2.15977,0.445936
4.5e-07,2.16297,0.445571
4.5e-07,2.16619,0.445207
4.5e-07,2.16941,0.444842
4.5e-07,2.17264,0.444477
4.5e-07,2.17588,0.444113
4.5e-07,2.17913,0.443747
4.5e-07,2.18238,0.443382
4.5e-07,2.18565,0.443017
4.5e-07,2.18892,0.442651
4.5e-07,2.1922,0.442285
4.5e-07,2.19548,0.441919
4.5e-07,2.19878,0.441553
4.5e-07,2.20208,0.441187
4.5e-07,2.20539,0.440821
4.5e-07,2.20871,0.440454
4.5e-07,2.21203,0.440088
4.5e-07,2.21537,0.439721
4.5e-07,2.21871,0.439354
4.5e-07,2.22206,0.438987
4.5e-07,2.22542,0.438619
4.5e-07,2.22879,0.438252
4.5e-07,2.23216,0.437884
4.5e-07,2.23554,0.437516
4.5e-07,2.23894,0.437148
4.5e-07,2.24234,0.43678
4.5e-07,2.24574,0.436412
4.5e-07,2.24916,0.436044
4.5e-07,2.25259,0.435675
4.5e-07,2.25602,0.435306
4.5e-07,2.25946,0.434937
4.5e-07,2.26291,0.434568
4.5e-07,2.26637,0.434199
4.5e-07,2.26984,0.433829
4.5e-07,2.27332,0.43346
4.5e-07,2.2768,0.43309
4.5e-07,2.2803,0.43272
4.5e-07,2.2838,0.43235
4.5e-07,2.28731,0.431979
4.5e-07,2.29083,0.431609
4.5e-07,2.29436,0.431238
4.5e-07,2.2979,0.430868
4.5e-07,2.30144,0.430497
4.5e-07,2.305,0.430125
4.5e-07,2.30856,0.429754
4.5e-07,2.31214,0.429383
4.5e-07,2.31572,0.429011
4.5e-07,2.31931,0.428639
4.5e-07,2.32291,0.428267
4.5e-07,2.32652,0.427895
4.5e-07,2.33014,0.427522
4.5e-07,2.33376,0.42715
4.5e-07,2.3374,0.426777
4.5e-07,2.34105,0.426404
4.5e-07,2.3447,0.426031
4.5e-07,2.34837,0.425658
4.5e-07,2.35204,0.425284
4.5e-07,2.35573,0.424911
4.5e-07,2.35942,0.424537
4.5e-07,2.36312,0.424163
4.5e-07,2.36683,0.423789
4.5e-07,2.37055,0.423414
4.5e-07,2.37429,0.42304
4.5e-07,2.37803,0.422665
4.5e-07,2.38178,0.42229
4.5e-07,2.38554,0.421915
