L,gm/Id,Ai
4.5e-07,2.62195,28.1972
4.5e-07,2.62578,28.2578
4.5e-07,2.62962,28.3185
4.5e-07,2.63347,28.3792
4.5e-07,2.63733,28.4401
4.5e-07,2.6412,28.5011
4.5e-07,2.64508,28.5622
4.5e-07,2.64897,28.6234
4.5e-07,2.65287,28.6847
4.5e-07,2.65677,28.7461
4.5e-07,2.66069,28.8077
4.5e-07,2.66462,28.8693
4.5e-07,2.66855,28.9311
4.5e-07,2.6725,28.993
4.5e-07,2.67645,29.0549
4.5e-07,2.68042,29.117
4.5e-07,2.68439,29.1792
4.5e-07,2.68838,29.2416
4.5e-07,2.69237,29.304
4.5e-07,2.69638,29.3666
4.5e-07,2.70039,29.4292
4.5e-07,2.70442,29.492
4.5e-07,2.70845,29.5549
4.5e-07,2.7125,29.6179
4.5e-07,2.71655,29.681
4.5e-07,2.72062,29.7442
4.5e-07,2.72469,29.8076
4.5e-07,2.72878,29.8711
4.5e-07,2.73288,29.9347
4.5e-07,2.73698,29.9984
4.5e-07,2.7411,30.0622
4.5e-07,2.74523,30.1261
4.5e-07,2.74936,30.1902
4.5e-07,2.75351,30.2543
4.5e-07,2.75767,30.3186
4.5e-07,2.76184,30.3831
4.5e-07,2.76602,30.4476
4.5e-07,2.77021,30.5122
4.5e-07,2.77441,30.577
4.5e-07,2.77862,30.6419
4.5e-07,2.78285,30.7069
4.5e-07,2.78708,30.772
4.5e-07,2.79132,30.8373
4.5e-07,2.79558,30.9027
4.5e-07,2.79985,30.9682
4.5e-07,2.80412,31.0338
4.5e-07,2.80841,31.0995
4.5e-07,2.81271,31.1654
4.5e-07,2.81702,31.2314
4.5e-07,2.82135,31.2975
4.5e-07,2.82568,31.3637
4.5e-07,2.83002,31.4301
4.5e-07,2.83438,31.4966
4.5e-07,2.83875,31.5632
4.5e-07,2.84313,31.6299
4.5e-07,2.84752,31.6968
4.5e-07,2.85192,31.7638
4.5e-07,2.85633,31.8309
4.5e-07,2.86076,31.8981
4.5e-07,2.86519,31.9655
4.5e-07,2.86964,32.033
4.5e-07,2.8741,32.1006
4.5e-07,2.87858,32.1684
4.5e-07,2.88306,32.2362
4.5e-07,2.88756,32.3042
4.5e-07,2.89206,32.3724
4.5e-07,2.89658,32.4407
4.5e-07,2.90112,32.5091
4.5e-07,2.90566,32.5776
4.5e-07,2.91022,32.6462
4.5e-07,2.91479,32.715
4.5e-07,2.91937,32.784
4.5e-07,2.92396,32.853
4.5e-07,2.92857,32.9222
4.5e-07,2.93318,32.9915
4.5e-07,2.93782,33.061
4.5e-07,2.94246,33.1306
4.5e-07,2.94711,33.2003
4.5e-07,2.95178,33.2702
4.5e-07,2.95646,33.3402
4.5e-07,2.96116,33.4103
4.5e-07,2.96586,33.4805
4.5e-07,2.97058,33.5509
4.5e-07,2.97532,33.6215
4.5e-07,2.98006,33.6922
4.5e-07,2.98482,33.763
4.5e-07,2.98959,33.8339
4.5e-07,2.99438,33.905
4.5e-07,2.99918,33.9762
4.5e-07,3.00399,34.0476
4.5e-07,3.00881,34.1191
4.5e-07,3.01365,34.1907
4.5e-07,3.0185,34.2625
4.5e-07,3.02337,34.3344
4.5e-07,3.02825,34.4065
4.5e-07,3.03314,34.4787
4.5e-07,3.03804,34.551
4.5e-07,3.04296,34.6235
4.5e-07,3.0479,34.6962
4.5e-07,3.05284,34.7689
4.5e-07,3.05781,34.8419
4.5e-07,3.06278,34.9149
4.5e-07,3.06777,34.9881
4.5e-07,3.07277,35.0615
4.5e-07,3.07779,35.135
4.5e-07,3.08282,35.2086
4.5e-07,3.08787,35.2824
4.5e-07,3.09293,35.3563
4.5e-07,3.098,35.4304
4.5e-07,3.10309,35.5046
4.5e-07,3.1082,35.579
4.5e-07,3.11332,35.6535
4.5e-07,3.11845,35.7282
4.5e-07,3.1236,35.803
4.5e-07,3.12876,35.878
4.5e-07,3.13394,35.9531
4.5e-07,3.13913,36.0284
4.5e-07,3.14434,36.1038
4.5e-07,3.14956,36.1794
4.5e-07,3.1548,36.2551
4.5e-07,3.16005,36.331
4.5e-07,3.16532,36.407
4.5e-07,3.1706,36.4832
4.5e-07,3.1759,36.5595
4.5e-07,3.18121,36.636
4.5e-07,3.18654,36.7126
4.5e-07,3.19189,36.7894
4.5e-07,3.19725,36.8664
4.5e-07,3.20263,36.9435
4.5e-07,3.20802,37.0207
4.5e-07,3.21343,37.0981
4.5e-07,3.21885,37.1757
4.5e-07,3.22429,37.2535
4.5e-07,3.22975,37.3313
4.5e-07,3.23522,37.4094
4.5e-07,3.24071,37.4876
4.5e-07,3.24622,37.566
4.5e-07,3.25174,37.6445
4.5e-07,3.25728,37.7232
4.5e-07,3.26284,37.802
4.5e-07,3.26841,37.881
4.5e-07,3.274,37.9602
4.5e-07,3.2796,38.0395
4.5e-07,3.28522,38.119
4.5e-07,3.29086,38.1987
4.5e-07,3.29652,38.2785
4.5e-07,3.30219,38.3585
4.5e-07,3.30788,38.4387
4.5e-07,3.31359,38.519
4.5e-07,3.31931,38.5995
4.5e-07,3.32506,38.6801
4.5e-07,3.33082,38.7609
4.5e-07,3.33659,38.8419
4.5e-07,3.34239,38.9231
4.5e-07,3.3482,39.0044
4.5e-07,3.35403,39.0859
4.5e-07,3.35988,39.1675
4.5e-07,3.36575,39.2494
4.5e-07,3.37163,39.3314
4.5e-07,3.37754,39.4135
4.5e-07,3.38346,39.4959
4.5e-07,3.3894,39.5784
4.5e-07,3.39536,39.6611
4.5e-07,3.40133,39.7439
4.5e-07,3.40733,39.8269
4.5e-07,3.41334,39.9101
4.5e-07,3.41938,39.9935
4.5e-07,3.42543,40.0771
4.5e-07,3.4315,40.1608
4.5e-07,3.43759,40.2447
4.5e-07,3.4437,40.3288
4.5e-07,3.44982,40.413
4.5e-07,3.45597,40.4975
4.5e-07,3.46214,40.5821
4.5e-07,3.46832,40.6669
4.5e-07,3.47453,40.7518
4.5e-07,3.48076,40.837
4.5e-07,3.487,40.9223
4.5e-07,3.49327,41.0078
4.5e-07,3.49955,41.0935
4.5e-07,3.50586,41.1794
4.5e-07,3.51218,41.2655
4.5e-07,3.51853,41.3517
4.5e-07,3.5249,41.4381
4.5e-07,3.53128,41.5247
4.5e-07,3.53769,41.6115
4.5e-07,3.54412,41.6985
4.5e-07,3.55057,41.7856
4.5e-07,3.55704,41.873
4.5e-07,3.56353,41.9605
4.5e-07,3.57004,42.0483
4.5e-07,3.57657,42.1362
4.5e-07,3.58313,42.2243
4.5e-07,3.5897,42.3126
4.5e-07,3.5963,42.401
4.5e-07,3.60292,42.4897
4.5e-07,3.60956,42.5786
4.5e-07,3.61622,42.6676
4.5e-07,3.62291,42.7569
4.5e-07,3.62961,42.8463
4.5e-07,3.63634,42.9359
4.5e-07,3.64309,43.0257
4.5e-07,3.64986,43.1158
4.5e-07,3.65666,43.206
4.5e-07,3.66348,43.2964
4.5e-07,3.67032,43.387
4.5e-07,3.67718,43.4778
4.5e-07,3.68407,43.5688
4.5e-07,3.69098,43.66
4.5e-07,3.69791,43.7514
4.5e-07,3.70487,43.843
4.5e-07,3.71185,43.9348
4.5e-07,3.71885,44.0268
4.5e-07,3.72588,44.119
4.5e-07,3.73293,44.2114
4.5e-07,3.74,44.304
4.5e-07,3.7471,44.3968
4.5e-07,3.75422,44.4898
4.5e-07,3.76137,44.583
4.5e-07,3.76854,44.6764
4.5e-07,3.77574,44.77
4.5e-07,3.78296,44.8638
4.5e-07,3.7902,44.9579
4.5e-07,3.79747,45.0521
4.5e-07,3.80477,45.1466
4.5e-07,3.81209,45.2412
4.5e-07,3.81943,45.3361
4.5e-07,3.8268,45.4312
4.5e-07,3.8342,45.5264
4.5e-07,3.84162,45.6219
4.5e-07,3.84907,45.7177
4.5e-07,3.85654,45.8136
4.5e-07,3.86404,45.9097
4.5e-07,3.87157,46.0061
4.5e-07,3.87912,46.1026
4.5e-07,3.8867,46.1994
4.5e-07,3.89431,46.2964
4.5e-07,3.90194,46.3936
4.5e-07,3.9096,46.491
4.5e-07,3.91728,46.5887
4.5e-07,3.92499,46.6865
4.5e-07,3.93273,46.7846
4.5e-07,3.9405,46.8829
4.5e-07,3.9483,46.9814
4.5e-07,3.95612,47.0802
4.5e-07,3.96397,47.1791
4.5e-07,3.97185,47.2783
4.5e-07,3.97976,47.3777
4.5e-07,3.98769,47.4774
4.5e-07,3.99566,47.5772
4.5e-07,4.00365,47.6773
4.5e-07,4.01167,47.7776
4.5e-07,4.01972,47.8781
4.5e-07,4.0278,47.9789
4.5e-07,4.03591,48.0799
4.5e-07,4.04404,48.1811
4.5e-07,4.05221,48.2826
4.5e-07,4.06041,48.3842
4.5e-07,4.06864,48.4861
4.5e-07,4.07689,48.5883
4.5e-07,4.08518,48.6906
4.5e-07,4.0935,48.7932
4.5e-07,4.10184,48.8961
4.5e-07,4.11022,48.9991
4.5e-07,4.11863,49.1024
