L,gm/Id,Ai
4.5e-07,1.48651,16.4409
4.5e-07,1.4883,16.4715
4.5e-07,1.49009,16.5022
4.5e-07,1.49189,16.533
4.5e-07,1.49368,16.5638
4.5e-07,1.49549,16.5947
4.5e-07,1.49729,16.6256
4.5e-07,1.4991,16.6566
4.5e-07,1.50091,16.6877
4.5e-07,1.50273,16.7188
4.5e-07,1.50455,16.75
4.5e-07,1.50637,16.7812
4.5e-07,1.50819,16.8125
4.5e-07,1.51002,16.8438
4.5e-07,1.51185,16.8752
4.5e-07,1.51369,16.9067
4.5e-07,1.51553,16.9382
4.5e-07,1.51737,16.9698
4.5e-07,1.51922,17.0014
4.5e-07,1.52106,17.0331
4.5e-07,1.52292,17.0649
4.5e-07,1.52477,17.0967
4.5e-07,1.52663,17.1286
4.5e-07,1.52849,17.1605
4.5e-07,1.53036,17.1925
4.5e-07,1.53223,17.2246
4.5e-07,1.5341,17.2567
4.5e-07,1.53598,17.2889
4.5e-07,1.53786,17.3211
4.5e-07,1.53974,17.3534
4.5e-07,1.54163,17.3858
4.5e-07,1.54352,17.4182
4.5e-07,1.54542,17.4507
4.5e-07,1.54732,17.4832
4.5e-07,1.54922,17.5159
4.5e-07,1.55112,17.5485
4.5e-07,1.55303,17.5813
4.5e-07,1.55494,17.614
4.5e-07,1.55686,17.6469
4.5e-07,1.55878,17.6798
4.5e-07,1.5607,17.7128
4.5e-07,1.56263,17.7458
4.5e-07,1.56456,17.7789
4.5e-07,1.56649,17.8121
4.5e-07,1.56843,17.8453
4.5e-07,1.57037,17.8786
4.5e-07,1.57232,17.912
4.5e-07,1.57426,17.9454
4.5e-07,1.57622,17.9789
4.5e-07,1.57817,18.0124
4.5e-07,1.58013,18.0461
4.5e-07,1.5821,18.0797
4.5e-07,1.58406,18.1135
4.5e-07,1.58603,18.1473
4.5e-07,1.58801,18.1811
4.5e-07,1.58999,18.2151
4.5e-07,1.59197,18.2491
4.5e-07,1.59396,18.2831
4.5e-07,1.59595,18.3173
4.5e-07,1.59794,18.3515
4.5e-07,1.59994,18.3857
4.5e-07,1.60194,18.42
4.5e-07,1.60394,18.4544
4.5e-07,1.60595,18.4889
4.5e-07,1.60797,18.5234
4.5e-07,1.60998,18.558
4.5e-07,1.612,18.5927
4.5e-07,1.61403,18.6274
4.5e-07,1.61606,18.6622
4.5e-07,1.61809,18.697
4.5e-07,1.62013,18.732
4.5e-07,1.62217,18.7669
4.5e-07,1.62421,18.802
4.5e-07,1.62626,18.8371
4.5e-07,1.62831,18.8723
4.5e-07,1.63037,18.9076
4.5e-07,1.63243,18.9429
4.5e-07,1.63449,18.9783
4.5e-07,1.63656,19.0138
4.5e-07,1.63863,19.0493
