L,gm/Id,Vgs
4.5e-07,1.48472,1.63162
4.5e-07,1.48651,1.63072
4.5e-07,1.4883,1.62981
4.5e-07,1.49009,1.62891
4.5e-07,1.49189,1.62801
4.5e-07,1.49368,1.62711
4.5e-07,1.49549,1.62621
4.5e-07,1.49729,1.62531
4.5e-07,1.4991,1.62441
4.5e-07,1.50091,1.62351
4.5e-07,1.50273,1.62261
4.5e-07,1.50455,1.62171
4.5e-07,1.50637,1.62081
4.5e-07,1.50819,1.61991
4.5e-07,1.51002,1.61901
4.5e-07,1.51185,1.61811
4.5e-07,1.51369,1.61721
4.5e-07,1.51553,1.61631
4.5e-07,1.51737,1.61541
4.5e-07,1.51922,1.61451
4.5e-07,1.52106,1.61361
4.5e-07,1.52292,1.61271
4.5e-07,1.52477,1.61181
4.5e-07,1.52663,1.61091
4.5e-07,1.52849,1.61001
4.5e-07,1.53036,1.6091
4.5e-07,1.53223,1.6082
4.5e-07,1.5341,1.6073
4.5e-07,1.53598,1.6064
4.5e-07,1.53786,1.6055
4.5e-07,1.53974,1.6046
4.5e-07,1.54163,1.6037
4.5e-07,1.54352,1.6028
4.5e-07,1.54542,1.6019
4.5e-07,1.54732,1.601
4.5e-07,1.54922,1.6001
4.5e-07,1.55112,1.5992
4.5e-07,1.55303,1.5983
4.5e-07,1.55494,1.5974
4.5e-07,1.55686,1.5965
4.5e-07,1.55878,1.5956
4.5e-07,1.5607,1.5947
4.5e-07,1.56263,1.5938
4.5e-07,1.56456,1.5929
4.5e-07,1.56649,1.592
4.5e-07,1.56843,1.5911
4.5e-07,1.57037,1.5902
4.5e-07,1.57232,1.58929
4.5e-07,1.57426,1.58839
4.5e-07,1.57622,1.58749
4.5e-07,1.57817,1.58659
4.5e-07,1.58013,1.58569
4.5e-07,1.5821,1.58479
4.5e-07,1.58406,1.58389
4.5e-07,1.58603,1.58299
4.5e-07,1.58801,1.58209
4.5e-07,1.58999,1.58119
4.5e-07,1.59197,1.58029
4.5e-07,1.59396,1.57939
4.5e-07,1.59595,1.57849
4.5e-07,1.59794,1.57759
4.5e-07,1.59994,1.57669
4.5e-07,1.60194,1.57579
4.5e-07,1.60394,1.57489
4.5e-07,1.60595,1.57399
4.5e-07,1.60797,1.57309
4.5e-07,1.60998,1.57219
4.5e-07,1.612,1.57129
4.5e-07,1.61403,1.57039
4.5e-07,1.61606,1.56948
4.5e-07,1.61809,1.56858
4.5e-07,1.62013,1.56768
4.5e-07,1.62217,1.56678
4.5e-07,1.62421,1.56588
4.5e-07,1.62626,1.56498
4.5e-07,1.62831,1.56408
4.5e-07,1.63037,1.56318
4.5e-07,1.63243,1.56228
4.5e-07,1.63449,1.56138
4.5e-07,1.63656,1.56048
4.5e-07,1.63863,1.55958
4.5e-07,1.64071,1.55868
4.5e-07,1.64279,1.55778
4.5e-07,1.64487,1.55688
4.5e-07,1.64696,1.55598
4.5e-07,1.64906,1.55508
4.5e-07,1.65115,1.55418
4.5e-07,1.65325,1.55328
4.5e-07,1.65536,1.55238
4.5e-07,1.65747,1.55148
4.5e-07,1.65958,1.55058
4.5e-07,1.6617,1.54967
4.5e-07,1.66382,1.54877
4.5e-07,1.66595,1.54787
4.5e-07,1.66808,1.54697
4.5e-07,1.67021,1.54607
4.5e-07,1.67235,1.54517
4.5e-07,1.67449,1.54427
4.5e-07,1.67664,1.54337
4.5e-07,1.67879,1.54247
4.5e-07,1.68095,1.54157
4.5e-07,1.68311,1.54067
4.5e-07,1.68527,1.53977
4.5e-07,1.68744,1.53887
4.5e-07,1.68961,1.53797
4.5e-07,1.69179,1.53707
4.5e-07,1.69397,1.53617
4.5e-07,1.69616,1.53527
4.5e-07,1.69835,1.53437
4.5e-07,1.70054,1.53347
4.5e-07,1.70274,1.53257
