L,Id/W,gm/Id
4.5e-07,186.055,1.50637
4.5e-07,185.802,1.50819
4.5e-07,185.55,1.51002
4.5e-07,185.298,1.51185
4.5e-07,185.046,1.51369
4.5e-07,184.793,1.51553
4.5e-07,184.541,1.51737
4.5e-07,184.289,1.51922
4.5e-07,184.037,1.52106
4.5e-07,183.785,1.52292
4.5e-07,183.533,1.52477
4.5e-07,183.281,1.52663
4.5e-07,183.029,1.52849
4.5e-07,182.777,1.53036
4.5e-07,182.525,1.53223
4.5e-07,182.274,1.5341
4.5e-07,182.022,1.53598
4.5e-07,181.77,1.53786
4.5e-07,181.518,1.53974
4.5e-07,181.267,1.54163
4.5e-07,181.015,1.54352
4.5e-07,180.764,1.54542
4.5e-07,180.512,1.54732
4.5e-07,180.261,1.54922
4.5e-07,180.009,1.55112
4.5e-07,179.758,1.55303
4.5e-07,179.506,1.55494
4.5e-07,179.255,1.55686
4.5e-07,179.004,1.55878
4.5e-07,178.753,1.5607
4.5e-07,178.501,1.56263
4.5e-07,178.25,1.56456
4.5e-07,177.999,1.56649
4.5e-07,177.748,1.56843
4.5e-07,177.497,1.57037
4.5e-07,177.246,1.57232
4.5e-07,176.995,1.57426
4.5e-07,176.744,1.57622
4.5e-07,176.493,1.57817
4.5e-07,176.243,1.58013
4.5e-07,175.992,1.5821
4.5e-07,175.741,1.58406
4.5e-07,175.491,1.58603
4.5e-07,175.24,1.58801
4.5e-07,174.989,1.58999
4.5e-07,174.739,1.59197
4.5e-07,174.488,1.59396
4.5e-07,174.238,1.59595
4.5e-07,173.988,1.59794
4.5e-07,173.737,1.59994
4.5e-07,173.487,1.60194
4.5e-07,173.237,1.60394
4.5e-07,172.987,1.60595
4.5e-07,172.737,1.60797
4.5e-07,172.486,1.60998
4.5e-07,172.236,1.612
4.5e-07,171.986,1.61403
4.5e-07,171.736,1.61606
4.5e-07,171.487,1.61809
4.5e-07,171.237,1.62013
4.5e-07,170.987,1.62217
4.5e-07,170.737,1.62421
4.5e-07,170.488,1.62626
4.5e-07,170.238,1.62831
4.5e-07,169.988,1.63037
4.5e-07,169.739,1.63243
4.5e-07,169.489,1.63449
4.5e-07,169.24,1.63656
4.5e-07,168.991,1.63863
4.5e-07,168.741,1.64071
4.5e-07,168.492,1.64279
4.5e-07,168.243,1.64487
4.5e-07,167.994,1.64696
4.5e-07,167.744,1.64906
4.5e-07,167.495,1.65115
4.5e-07,167.246,1.65325
4.5e-07,166.997,1.65536
4.5e-07,166.749,1.65747
4.5e-07,166.5,1.65958
4.5e-07,166.251,1.6617
4.5e-07,166.002,1.66382
4.5e-07,165.754,1.66595
4.5e-07,165.505,1.66808
4.5e-07,165.256,1.67021
4.5e-07,165.008,1.67235
4.5e-07,164.759,1.67449
4.5e-07,164.511,1.67664
4.5e-07,164.263,1.67879
4.5e-07,164.014,1.68095
4.5e-07,163.766,1.68311
4.5e-07,163.518,1.68527
4.5e-07,163.27,1.68744
4.5e-07,163.022,1.68961
4.5e-07,162.774,1.69179
4.5e-07,162.526,1.69397
4.5e-07,162.278,1.69616
4.5e-07,162.03,1.69835
4.5e-07,161.782,1.70054
4.5e-07,161.535,1.70274
4.5e-07,161.287,1.70494
4.5e-07,161.04,1.70715
4.5e-07,160.792,1.70937
4.5e-07,160.545,1.71158
4.5e-07,160.297,1.7138
4.5e-07,160.05,1.71603
4.5e-07,159.803,1.71826
4.5e-07,159.555,1.72049
4.5e-07,159.308,1.72273
4.5e-07,159.061,1.72498
4.5e-07,158.814,1.72723
4.5e-07,158.567,1.72948
4.5e-07,158.32,1.73174
4.5e-07,158.073,1.734
4.5e-07,157.827,1.73626
4.5e-07,157.58,1.73854
4.5e-07,157.333,1.74081
4.5e-07,157.087,1.74309
4.5e-07,156.84,1.74538
4.5e-07,156.594,1.74767
4.5e-07,156.347,1.74996
4.5e-07,156.101,1.75226
4.5e-07,155.855,1.75457
4.5e-07,155.608,1.75687
4.5e-07,155.362,1.75919
4.5e-07,155.116,1.76151
4.5e-07,154.87,1.76383
4.5e-07,154.624,1.76616
4.5e-07,154.378,1.76849
4.5e-07,154.133,1.77083
4.5e-07,153.887,1.77317
4.5e-07,153.641,1.77552
4.5e-07,153.396,1.77787
4.5e-07,153.15,1.78022
4.5e-07,152.905,1.78259
4.5e-07,152.659,1.78495
4.5e-07,152.414,1.78732
4.5e-07,152.169,1.7897
4.5e-07,151.923,1.79208
4.5e-07,151.678,1.79447
4.5e-07,151.433,1.79686
4.5e-07,151.188,1.79925
4.5e-07,150.943,1.80166
4.5e-07,150.698,1.80406
4.5e-07,150.454,1.80647
4.5e-07,150.209,1.80889
4.5e-07,149.964,1.81131
4.5e-07,149.72,1.81374
4.5e-07,149.475,1.81617
4.5e-07,149.231,1.81861
4.5e-07,148.987,1.82105
4.5e-07,148.742,1.82349
4.5e-07,148.498,1.82595
4.5e-07,148.254,1.8284
4.5e-07,148.01,1.83087
4.5e-07,147.766,1.83333
4.5e-07,147.522,1.83581
4.5e-07,147.278,1.83829
4.5e-07,147.035,1.84077
4.5e-07,146.791,1.84326
4.5e-07,146.547,1.84575
4.5e-07,146.304,1.84825
4.5e-07,146.06,1.85075
4.5e-07,145.817,1.85326
4.5e-07,145.574,1.85578
4.5e-07,145.33,1.8583
4.5e-07,145.087,1.86083
4.5e-07,144.844,1.86336
