L,Id/W,gm/Id
4.5e-07,32.8709,2.62195
4.5e-07,32.7933,2.62578
4.5e-07,32.7158,2.62962
4.5e-07,32.6384,2.63347
4.5e-07,32.561,2.63733
4.5e-07,32.4837,2.6412
4.5e-07,32.4065,2.64508
4.5e-07,32.3293,2.64897
4.5e-07,32.2523,2.65287
4.5e-07,32.1752,2.65677
4.5e-07,32.0983,2.66069
4.5e-07,32.0214,2.66462
4.5e-07,31.9447,2.66855
4.5e-07,31.8679,2.6725
4.5e-07,31.7913,2.67645
4.5e-07,31.7147,2.68042
4.5e-07,31.6382,2.68439
4.5e-07,31.5617,2.68838
4.5e-07,31.4854,2.69237
4.5e-07,31.4091,2.69638
4.5e-07,31.3329,2.70039
4.5e-07,31.2567,2.70442
4.5e-07,31.1806,2.70845
4.5e-07,31.1046,2.7125
4.5e-07,31.0287,2.71655
4.5e-07,30.9528,2.72062
4.5e-07,30.877,2.72469
4.5e-07,30.8013,2.72878
4.5e-07,30.7257,2.73288
4.5e-07,30.6501,2.73698
4.5e-07,30.5746,2.7411
4.5e-07,30.4992,2.74523
4.5e-07,30.4238,2.74936
4.5e-07,30.3485,2.75351
4.5e-07,30.2733,2.75767
4.5e-07,30.1982,2.76184
4.5e-07,30.1231,2.76602
4.5e-07,30.0481,2.77021
4.5e-07,29.9732,2.77441
4.5e-07,29.8984,2.77862
4.5e-07,29.8236,2.78285
4.5e-07,29.7489,2.78708
4.5e-07,29.6743,2.79132
4.5e-07,29.5997,2.79558
4.5e-07,29.5253,2.79985
4.5e-07,29.4509,2.80412
4.5e-07,29.3765,2.80841
4.5e-07,29.3023,2.81271
4.5e-07,29.2281,2.81702
4.5e-07,29.154,2.82135
4.5e-07,29.08,2.82568
4.5e-07,29.006,2.83002
4.5e-07,28.9321,2.83438
4.5e-07,28.8583,2.83875
4.5e-07,28.7846,2.84313
4.5e-07,28.711,2.84752
4.5e-07,28.6374,2.85192
4.5e-07,28.5639,2.85633
4.5e-07,28.4904,2.86076
4.5e-07,28.4171,2.86519
4.5e-07,28.3438,2.86964
4.5e-07,28.2706,2.8741
4.5e-07,28.1975,2.87858
4.5e-07,28.1244,2.88306
4.5e-07,28.0515,2.88756
4.5e-07,27.9786,2.89206
4.5e-07,27.9057,2.89658
4.5e-07,27.833,2.90112
4.5e-07,27.7603,2.90566
4.5e-07,27.6877,2.91022
4.5e-07,27.6152,2.91479
